Date and Time,Farmbot Response
12/06/2019 09:37:35,INFO: 110 loops have passed.
12/06/2019 09:37:35,Data received is 'akjytrky'.
12/06/2019 09:37:36,INFO: 111 loops have passed.
12/06/2019 09:37:36,Data received is 'akjytrky'.
12/06/2019 09:37:37,INFO: 112 loops have passed.
12/06/2019 09:37:38,INFO: 113 loops have passed.
12/06/2019 09:37:39,INFO: 114 loops have passed.
12/06/2019 09:37:40,INFO: 115 loops have passed.
12/06/2019 09:37:41,INFO: 116 loops have passed.
12/06/2019 09:37:42,INFO: 117 loops have passed.
12/06/2019 09:37:43,INFO: 118 loops have passed.
12/06/2019 09:37:44,INFO: 119 loops have passed.
12/06/2019 09:37:45,INFO: 120 loops have passed.
12/06/2019 09:37:46,INFO: 121 loops have passed.
12/06/2019 09:37:47,INFO: 122 loops have passed.
12/06/2019 09:37:48,INFO: 123 loops have passed.
12/06/2019 09:37:49,INFO: 124 loops have passed.
12/06/2019 09:37:50,INFO: 125 loops have passed.
12/06/2019 09:37:51,INFO: 126 loops have passed.
12/06/2019 09:37:52,INFO: 127 loops have passed.
12/06/2019 09:37:53,INFO: 128 loops have passed.
12/06/2019 09:37:54,INFO: 129 loops have passed.
12/06/2019 09:37:55,INFO: 130 loops have passed.
12/06/2019 09:37:56,INFO: 131 loops have passed.
12/06/2019 09:37:57,INFO: 132 loops have passed.
12/06/2019 09:37:58,INFO: 133 loops have passed.
12/06/2019 09:37:59,INFO: 134 loops have passed.
12/06/2019 09:38:00,INFO: 135 loops have passed.
12/06/2019 09:38:01,INFO: 136 loops have passed.
12/06/2019 09:38:02,INFO: 137 loops have passed.
12/06/2019 09:38:03,INFO: 138 loops have passed.
12/06/2019 09:38:04,INFO: 139 loops have passed.
12/06/2019 09:38:05,INFO: 140 loops have passed.
12/06/2019 09:38:06,INFO: 141 loops have passed.
12/06/2019 09:38:07,INFO: 142 loops have passed.
12/06/2019 09:38:08,INFO: 143 loops have passed.
12/06/2019 09:38:09,INFO: 144 loops have passed.
12/06/2019 09:38:10,INFO: 145 loops have passed.
12/06/2019 09:38:11,INFO: 146 loops have passed.
12/06/2019 09:38:12,INFO: 147 loops have passed.
12/06/2019 09:38:13,INFO: 148 loops have passed.
12/06/2019 09:38:14,INFO: 149 loops have passed.
12/06/2019 09:38:15,INFO: 150 loops have passed.
12/06/2019 09:38:16,INFO: 151 loops have passed.
12/06/2019 09:38:17,INFO: 152 loops have passed.
12/06/2019 09:38:18,INFO: 153 loops have passed.
12/06/2019 09:38:19,INFO: 154 loops have passed.
12/06/2019 09:38:20,INFO: 155 loops have passed.
12/06/2019 09:38:21,INFO: 156 loops have passed.
12/06/2019 09:38:22,INFO: 157 loops have passed.
12/06/2019 09:38:23,INFO: 158 loops have passed.
12/06/2019 09:38:24,INFO: 159 loops have passed.
12/06/2019 09:38:25,INFO: 160 loops have passed.
12/06/2019 09:38:26,INFO: 161 loops have passed.
12/06/2019 09:38:27,INFO: 162 loops have passed.
12/06/2019 09:38:28,INFO: 163 loops have passed.
12/06/2019 09:38:29,INFO: 164 loops have passed.
12/06/2019 09:38:30,INFO: 165 loops have passed.
12/06/2019 09:38:31,INFO: 166 loops have passed.
12/06/2019 09:38:32,INFO: 167 loops have passed.
12/06/2019 09:38:33,INFO: 168 loops have passed.
12/06/2019 09:38:34,INFO: 169 loops have passed.
12/06/2019 09:38:35,INFO: 170 loops have passed.
12/06/2019 09:38:36,INFO: 171 loops have passed.
12/06/2019 09:38:37,INFO: 172 loops have passed.
12/06/2019 09:38:38,INFO: 173 loops have passed.
12/06/2019 09:38:39,INFO: 174 loops have passed.
12/06/2019 09:38:40,INFO: 175 loops have passed.
12/06/2019 09:38:41,INFO: 176 loops have passed.
12/06/2019 09:38:42,INFO: 177 loops have passed.
12/06/2019 09:38:43,INFO: 178 loops have passed.
12/06/2019 09:38:44,INFO: 179 loops have passed.
12/06/2019 09:38:45,INFO: 180 loops have passed.
12/06/2019 09:38:46,INFO: 181 loops have passed.
12/06/2019 09:38:47,INFO: 182 loops have passed.
12/06/2019 09:38:48,INFO: 183 loops have passed.
12/06/2019 09:38:49,INFO: 184 loops have passed.
12/06/2019 09:38:50,INFO: 185 loops have passed.
12/06/2019 09:38:51,INFO: 186 loops have passed.
12/06/2019 09:38:52,INFO: 187 loops have passed.
12/06/2019 09:38:53,INFO: 188 loops have passed.
12/06/2019 09:38:54,INFO: 189 loops have passed.
12/06/2019 09:38:55,INFO: 190 loops have passed.
12/06/2019 09:38:56,INFO: 191 loops have passed.
12/06/2019 09:38:57,INFO: 192 loops have passed.
12/06/2019 09:38:58,INFO: 193 loops have passed.
12/06/2019 09:38:59,INFO: 194 loops have passed.
12/06/2019 09:39:00,INFO: 195 loops have passed.
12/06/2019 09:39:01,INFO: 196 loops have passed.
12/06/2019 09:39:02,INFO: 197 loops have passed.
12/06/2019 09:39:03,INFO: 198 loops have passed.
12/06/2019 09:39:04,INFO: 199 loops have passed.
12/06/2019 09:39:05,INFO: 200 loops have passed.
12/06/2019 09:39:06,INFO: 201 loops have passed.
12/06/2019 09:39:07,INFO: 202 loops have passed.
12/06/2019 09:39:08,INFO: 203 loops have passed.
12/06/2019 09:39:09,INFO: 204 loops have passed.
12/06/2019 09:39:10,INFO: 205 loops have passed.
12/06/2019 09:39:11,INFO: 206 loops have passed.
12/06/2019 09:39:12,INFO: 207 loops have passed.
12/06/2019 09:39:13,INFO: 208 loops have passed.
12/06/2019 09:39:14,INFO: 209 loops have passed.
